BAR NUMBER;TIME SIGNATURE;DIVISION;TEMPO;REHEARSAL MARKING;TEXT MARKING
1;4/4;;116;;Moderate
2;;;;;
3;;;;;
4;;;;;
5;;;;;
6;;;;;
7;;;;;
8;;;;;
9;;;;;
10;;;;10;
11;;;;;
12;;;;;
13;;;;;
14;5/4;;;;
15;4/4;;;;
16;;;;;
17;;;;;
18;;;;;
19;;;;;
20;;;;20;
21;;;;;
22;;;;;
23;;;;;
24;;;;;
25;;;;;
26;;;;;
27;;;;;
28;;;;;
29;;;;;
30;5/4;;;30;
31;;;;;
32;;;;;
33;;;;;
34;4/4;;;;
35;;;;;
36;;;;;
37;;;;;
38;3/4;;;;
39;4/4;;;;
40;3/4;;;40;
41;4/4;;;;
42;;;;;
43;;;;;
44;;;;;
45;;;;;
46;;;;;
47;;;;;
48;;;;;
49;;;;;
50;;;;50;
51;;;;;
52;;;;;
53;;;;;
54;;;;;
55;;;;;
56;;;;;
57;3/4;;;;
58;2/4;;;;
59;4/4;;;;
60;;;;60;
61;3/4;;;;
62;4/4;;;;
63;;;;;
64;;;;;
65;;;;;
66;;;;;
67;3/4;;132;;
68;;;;;
69;;;;;
70;2/4;;;70;
71;3/4;;;;
72;2/4;;;;
73;3/4;;;;
74;4/4;;;;
75;3/4;;;;
76;4/4;;;;
77;3/4;;;;
78;4/4;;;;
79;3/4;;;;
80;4/4;;;80;
81;;;;;
82;;;;;
83;2/4;;;;
84;4/4;;;;
85;;;;;
86;;;;;
87;;;;;
88;;;;;
89;;;;;
90;;;;90;
91;;;;;
92;3/4;;;;
93;4/4;;;;
94;;;;;
95;3/4;;;;
96;;;;;
97;5/4;;;;
98;4/4;;;;
99;;;;;
100;;;;100;
101;;;;;
102;5/4;;;;
103;4/4;;116;;
104;;;;;
105;;;;;
106;;;;;
107;3/4;;;;
108;4/4;;;;
109;;;;;
110;2/4;;;110;
111;3/4;;;;
112;;;;;
113;4/4;;;;
114;;;;;
115;;;;;
116;;;;;
117;;;;;
118;;;;;
119;;;;;
120;;;;120;
121;;;;;
122;;;;;
123;;;;;
124;;;;;
125;;;;;
126;;;;;
127;;;;;
128;;;;;
129;;;;;
130;;;;130;
131;;;;;
132;;;;;
133;;;;;
134;;;;;
135;;;;;
136;;;;;
137;;;;;
138;;;;;
139;;;;;
140;;;;140;
141;;;;;
142;;;;;
143;;;;;
144;;;;;
145;;;;;
146;;;;;
147;;;;;
148;;;;;
149;;;;;
150;;;;150;
151;;;;;
152;;;;;
153;;;;;
154;;;;;
155;;;;;
156;;;;;
157;;;;;
158;;;;;
159;;;;;
160;;;;160;
161;;;;;
162;;;;;
163;;;;;
164;;;;;
165;;;;;
166;;;;;
167;;;;;
168;;;;;
169;3/4;;;;
170;4/4;;;170;
171;;;;;
172;;;;;
173;;;;;
174;;;;;
175;;;;;
176;;;;;
177;;;;;
178;3/2;;;;
179;;;;;
180;4/4;;;180;
181;;;;;
182;;;;;
183;;;;;
184;;;;;
185;;;;;
186;;;;;
187;;;;;
188;;;;;
189;;;;;
190;;;;190;
191;;;;;
192;;;;;
193;;;;;
194;;;;;
195;;;;;
196;3/4;;;;
197;2/4;;;;
198;3/4;;;;
199;4/4;;;;
200;2/4;;;200;
201;4/4;;;;
202;;;;;
203;;;;;
204;;;;;
205;;;;;
206;;;;;
207;;;;;
208;;;;;
209;;;;;
210;;;;210;
211;;;;;
212;;;;;
213;;;;;
214;;;120;;
215;;;;;
216;;;;;
217;;;;;
218;;;;;
219;;;;;
220;;;;220;
221;2/4;;;;
222;4/4;;;;
223;;;;;
224;;;;;
225;;;;;
226;;;;;
227;;;;;
228;;;;;
229;;;;;
230;;;;230;
231;;;;;
232;;;;;
233;;;;;
234;;;;;
235;;;;;
236;;;;;
237;;;;;
238;;;;;
239;;;;;
240;;;58;240;
241;;;;;
242;;;;;
243;;;;;
244;;;;;
245;;;;;
246;;;;;
247;;;;;
248;;;;;
249;;;;;
250;;;;250;
251;;;;;
252;3/2;;;;
253;4/4;;;;
254;;;;;
255;3/2;;;;
256;4/4;;;;
257;;;;;
258;;;;;
259;;;;;
260;;;;260;
261;;;;;
262;;;;;
263;;;;;
264;;;;;
265;;;;;
266;;;;;
267;;;;;
268;;;;;
269;;;;;
270;;;;270;
271;;;;;
272;;;;;
273;3/2;;;;
274;4/4;;;;
275;;;;;
276;;;;;
277;;;;;
278;;;;;
279;;;;;
280;;;;280;
281;;;;;
282;;;;;
283;;;;;
284;;;;;
285;;;;;
286;;;;;
287;;;;;
288;;;;;
289;;;;;
290;3/2;;;290;
291;4/4;;;;
292;;;;;
293;3/2;;;;
294;4/4;;;;
295;;;;;
296;;;;;
297;;;;;
298;;;;;
299;;;;;
300;;;;300;
301;;;;;
302;;;;;
303;;;;;
304;;;;;
305;;;;;